Kind,Name,File,Cyclomatic,CountLineCodeExe
Static Function,"builtin_diffstat",git\diff.c,9,35
File,"bulk-checkin.c",git\bulk-checkin.c,,133
File,"bulk-checkin.h",git\bulk-checkin.h,,0
Struct,"bulk_checkin_state",git\bulk-checkin.c,,0
File,"bundle.c",git\bundle.c,,253
File,"bundle.c",git\builtin\bundle.c,,39
File,"bundle.h",git\bundle.h,,0
Struct,"bundle_header",git\bundle.h,,0
Struct,"bundle_transport_data",git\transport.c,,0
File,"cache-tree.c",git\cache-tree.c,,355
File,"cache-tree.h",git\cache-tree.h,,0
File,"cache.h",git\cache.h,,51
Static Function,"cache_credential",git\credential-cache--daemon.c,4,5
Struct,"cache_def",git\cache.h,,0
Struct,"cache_entry",git\cache.h,,0
Static Function,"cache_entry_from_ondisk",git\read-cache.c,1,17
Struct,"cache_header",git\cache.h,,0
Function,"cache_name_compare",git\read-cache.c,1,1
Function,"cache_name_stage_compare",git\read-cache.c,7,13
Static Function,"cache_or_unpack_entry",git\sha1_file.c,3,11
Struct,"cache_time",git\cache.h,,0
Struct,"cache_tree",git\cache-tree.h,,0
Function,"cache_tree",git\cache-tree.c,1,3
Static Function,"cache_tree_find",git\cache-tree.c,8,17
Function,"cache_tree_free",git\cache-tree.c,4,10
Function,"cache_tree_fully_valid",git\cache-tree.c,5,8
Function,"cache_tree_invalidate_path",git\cache-tree.c,5,19
Function,"cache_tree_matches_traversal",git\cache-tree.c,2,5
Function,"cache_tree_read",git\cache-tree.c,2,3
Struct,"cache_tree_sub",git\cache-tree.h,,0
Function,"cache_tree_sub",git\cache-tree.c,1,2
Function,"cache_tree_update",git\cache-tree.c,3,7
Function,"cache_tree_write",git\cache-tree.c,1,1
Struct,"cached_object",git\sha1_file.c,,0
Static Function,"cacheinfo_callback",git\builtin\update-index.c,3,8
Static Function,"calc_eclosure",git\compat\regex\regcomp.c,7,16
Static Function,"calc_eclosure_iter",git\compat\regex\regcomp.c,13,39
Static Function,"calc_first",git\compat\regex\regcomp.c,4,12
Static Function,"calc_inveclosure",git\compat\regex\regcomp.c,5,9
Static Function,"calc_maxwidth",git\builtin\branch.c,4,7
Static Function,"calc_next",git\compat\regex\regcomp.c,5,15
Static Function,"calc_shared_perm",git\path.c,5,13
